feature,importance
shimmer_apq3,0.16267588398898888
jitter_local,0.11986594350955702
spectral_flatness,0.1134283384832343
jitter_rap,0.10262775856308518
f0_std,0.05583714820952009
shimmer_local,0.051748180934369836
hnr,0.03809882235148274
zcr,0.029355871464201003
mfcc_1,0.028602578680554703
mfcc_6,0.02303536084324829
mfcc_2,0.022539681064802652
spectral_bandwidth,0.021304457997441507
mfcc_13,0.020751607592770865
rms,0.01997051053655156
mfcc_4,0.0188640253670332
mfcc_11,0.018512276228967738
spectral_centroid,0.018146889552866734
mfcc_3,0.017754683543268958
f0_mean,0.016426135691553788
mfcc_5,0.015261978216508622
spectral_rolloff,0.015044129244958659
mfcc_9,0.014370764122386102
mfcc_12,0.014259821158283156
mfcc_8,0.014226572262453696
mfcc_10,0.013786031565941442
mfcc_7,0.013504548825969229
